#
# Sprite sheet data for Unity.
#
# To import these sprites into your Unity project, download "TexturePackerImporter":
# http://www.codeandweb.com/texturepacker/unity
#
# Sprite sheet: digit1.png (372 x 56)
# $TexturePacker:SmartUpdate:0457772d94ca36a400b0f389c25535f3:f18dfc63d282e7ebd25ca5f35b2f2419:c38a792fe0f4054f06322698f54aee06$
#

0;335;2;35;52;0.5;0.5
1;298;2;35;52;0.5;0.5
2;261;2;35;52;0.5;0.5
3;224;2;35;52;0.5;0.5
4;187;2;35;52;0.5;0.5
5;150;2;35;52;0.5;0.5
6;113;2;35;52;0.5;0.5
7;76;2;35;52;0.5;0.5
8;39;2;35;52;0.5;0.5
9;2;2;35;52;0.5;0.5
